year,mean
1999,10.323105140092276
2000,10.053586782467582
2001,10.006791214809788
2002,10.006820094569838
2003,10.477986819410855
2004,10.363972915966306
2005,10.46666521498556
2006,10.556947180091015
2007,10.515458857719242
2008,10.471393696610232
2009,10.3976685632523
2010,10.582752098048791
2011,10.730902100740783
2012,10.929048856836411
2013,10.759444968571682
2014,10.63417078543355
2015,10.7036916332245
2016,10.903636261451426
2017,10.884030606365444
2018,10.917943469707165
2019,10.988195083453146
2020,11.06231049398777
2021,11.633511738620854
2022,11.4792117902431
2023,11.452147471634651
2024,11.5684792480361
