layer,value,count,proportion,year,class
1,1,9976009,0.1933028640033421,1999,Low
1,2,30353512,0.5881531183622442,1999,Medium
1,3,11278659,0.21854401763441378,1999,High
1,1,9722695,0.18839445607266134,2000,Low
1,2,30803311,0.5968687715784591,2000,Medium
1,3,11082174,0.21473677234887958,2000,High
1,1,9828766,0.1904497697845574,2001,Low
1,2,30363232,0.5883414605979129,2001,Medium
1,3,11416182,0.2212087696175296,2001,High
1,1,10171013,0.19708141228774198,2002,Low
1,2,30360197,0.5882826520911995,2002,Medium
1,3,11076970,0.2146359356210585,2002,High
1,1,10258976,0.19878585139022534,2003,Low
1,2,29544990,0.572486570927322,2003,Medium
1,3,11804214,0.22872757768245267,2003,High
1,1,10072398,0.19517057179695158,2004,Low
1,2,29566247,0.5728984629955949,2004,Medium
1,3,11969535,0.23193096520745354,2004,High
1,1,9610628,0.1862229592285564,2005,Low
1,2,30222887,0.5856220273607788,2005,Medium
1,3,11774665,0.22815501341066474,2005,High
1,1,9374296,0.18164360766064605,2006,Low
1,2,29766830,0.5767851142977721,2006,Medium
1,3,12467054,0.2415712780415818,2006,High
1,1,9966791,0.19312424890782817,2007,Low
1,2,29415594,0.5699792939801404,2007,Medium
1,3,12225795,0.23689645711203147,2007,High
1,1,9914494,0.19211090179890086,2008,Low
1,2,29266414,0.5670886669516344,2008,Medium
1,3,12427272,0.2408004312494647,2008,High
1,1,10163536,0.19693653215439877,2009,Low
1,2,28872493,0.5594557490692367,2009,Medium
1,3,12572151,0.24360771877636453,2009,High
1,1,10256886,0.1987453539342019,2010,Low
1,2,29623540,0.5740086164635141,2010,Medium
1,3,11727754,0.227246029602284,2010,High
1,1,10149074,0.1966563052601351,2011,Low
1,2,29398352,0.5696451996563335,2011,Medium
1,3,12060754,0.23369849508353133,2011,High
1,1,9602513,0.1860657167139008,2012,Low
1,2,25957958,0.502981465341347,2012,Medium
1,3,16047709,0.31095281794475216,2012,High
1,1,9934311,0.19249489131374134,2013,Low
1,2,27768303,0.5380601098508028,2013,Medium
1,3,13905566,0.2694449988354559,2013,High
1,1,9930927,0.19242932031317517,2014,Low
1,2,28972472,0.561393019478695,2014,Medium
1,3,12704781,0.24617766020812978,2014,High
1,1,10420845,0.2019223502940813,2015,Low
1,2,28362406,0.5495719089493177,2015,Medium
1,3,12824929,0.24850574075660098,2015,High
1,1,9807129,0.19003051454246206,2016,Low
1,2,28459645,0.5514560870001616,2016,Medium
1,3,13341406,0.2585133984573763,2016,High
1,1,9897345,0.19177860951500325,2017,Low
1,2,28934735,0.5606617981878067,2017,Medium
1,3,12776100,0.2475595922971901,2017,High
1,1,9655965,0.18710144399589368,2018,Low
1,2,28692216,0.555962562524003,2018,Medium
1,3,13259999,0.2569359934801034,2018,High
1,1,9962954,0.1930499002289947,2019,Low
1,2,27858970,0.5398169437480648,2019,Medium
1,3,13786256,0.2671331560229406,2019,High
1,1,9875784,0.1913608269076724,2020,Low
1,2,28560599,0.5534122497635064,2020,Medium
1,3,13171797,0.25522692332882113,2020,High
1,1,10053325,0.1948009986013845,2021,Low
1,2,27514334,0.5331390101336648,2021,Medium
1,3,14040521,0.2720599912649506,2021,High
1,1,9142771,0.1771574002415896,2022,Low
1,2,27552895,0.533886197885684,2022,Medium
1,3,14912514,0.28895640187272637,2022,High
1,1,9656922,0.1871199875678623,2023,Low
1,2,28978882,0.5615172245950157,2023,Medium
1,3,12972376,0.25136278783712196,2023,High
